userid,mobilePlatform,tenureDay,waiBondSubscore
D2d+QvZOh6hbgFwBR9totchAC5k=,ios,5,2.75
UQq1EvExGUr3eEXbGObbiV+Mrtg=,android,6,3.75
qVyzInBHD+KDwYneOtRGUIjT17o=,ios,4,3.25
TAyM8LnnIjACZL1w3ckYmZZwe3o=,android,5,4.75
1vsxQ6OylVGzSrvt8PDMr9UXda4=,ios,5,4.0
ve6e27e2rFuOdoEs4CdBOtDPhDE=,ios,5,4.25
cljAIy3v55t9g2ce8jWlwCF49k4=,ios,5,4.25
Z7jhJoVzwkHfIoQStqTkUGM2/vM=,ios,4,4.0
z60SUTdz3QoWEFF2PGsUZMFROBg=,android,4,4.75
YCRoAIXbUZEvopOWaYwNbws2k5s=,ios,4,4.25
UfYctZXPd8+c0ta2+yCYH1qY4iA=,ios,4,4.75
SYOuw36Twts8zW+/i4dlH6Mg4bM=,ios,4,3.5
Czq7cWXcRbkT5lsdNuYBAxAn8EU=,ios,5,3.0
OO/UX8G1RtB1wDMg65KC5PpbBvE=,android,5,3.5
t9cUozb9NcSnLEkVrl2mcIqGTsA=,ios,4,3.25
EfTB5/0eOJrplUFQtQxpxw7jewg=,android,5,4.0
MjvGQEhsyRKZjrULj7TKvGbfbFc=,ios,14,4.5
jxRn9AlwFRdxUVnyqWATCDxnVK8=,android,5,3.5
YxB3FDqbQCnYWwI9YDFmLr+Lj7E=,android,5,4.5
C2G6+IozfjEQvavsen4pN75jWyI=,android,5,4.25
xXS9ip8A6dq/ZT4y+nfzvJlyt3U=,android,4,4.25
vMC6wMr0WLYEjGmxDsnaER8aFns=,ios,5,5.0
YpYdaUQMZD9URTXxHmxOKQAG/F0=,android,5,4.0
Wx4TYY7n2U/xsP4wOcWwh36IX0M=,android,4,3.0
eG4jwPH3nEXD5u+YlVRC4bfNJCk=,ios,5,4.75
/Dzf1JKKTKMjWL5es6LIAgFgX44=,ios,4,3.25
6mHAcnNebqzHNxqoJFCkitSQRgk=,ios,15,4.25
OMHdkTOOA+iNtESwYsZDladzod8=,ios,5,5.0
nL+Iq4A2BUB/tGlFMcwM2npIsh4=,ios,4,3.75
tYfnOKQ1fRIm6WSYsOgCioOwUpg=,ios,14,3.0
9vFrVGU6RKowDSDJxNV/7nvxSw4=,ios,14,4.5
QKNOQbRxNa+hlv3iRMjYESyYqZI=,ios,4,4.5
zGB2WzXPfrVPon/UyRLvdVWATy8=,ios,5,4.0
CLMKZaysxjbuu6b5roXg+c0vdYs=,ios,4,4.75
sXHmgnB9pX6/Du8g70SYhrgvHxg=,ios,15,4.0
tT/GGlOaexJijLbPrVyNxgXPCVg=,android,6,3.5
7tmrg9WrD6ukH0J4/94XlbdwzMQ=,android,5,3.25
0ubXWS57qP7dvtGbWvCpy8IKSj4=,ios,16,4.0
