"userid","tenureDay","userMessages","moodCategory"
"rLzw2UmRCEe46MtW5gES+bx5uRU=",0,45,"neutral"
"V0EzPowhWQCxtw1Xtxv2l9RrJ0k=",0,70,""
"bNQ0Y1NqoS4K4jwNTOQlR1dJHlQ=",0,83,""
"6nO/an2GbB8cg/dDVm0qzc5kfag=",0,61,""
"JM3fV1nBKwLHxhduyB8Are4RTAQ=",0,93,"negative"
"MHAQ3I3PnCe7f7b77LbiHbsPOAo=",0,85,""
"5AMr7GyFhzgqADU5r2azr0d8NKA=",0,110,"negative"
"jXV4Li16AOycv1sbCASCG9X5GSs=",0,78,""
"SGMIgk6oN3behpyc25r6I/1myqU=",0,128,"positive"
"v2ZfsCopJOQgiE/il4slY5YjFFM=",0,58,"neutral"
"GpHzEG6AxLsZvzI264c7KleEWu4=",0,97,""
"CtiTWuC4oMVEmKP7SwQPuHs9fzI=",0,80,"negative"
"q6vTKkwr5Wmxs49hQ9+E5LUox1U=",0,66,"positive"
"g6Gd5abwRbB8asx+idUGH+p717o=",0,35,"negative"
"3l/+gu3jPUdEX5IATW6H6tp001k=",0,57,""
"zm66fq0X/QJDbP/teONPk0ygsDE=",0,181,"neutral"
"vRXw446vy/SfjofEwq3eORizMtI=",0,81,""
"zGB2WzXPfrVPon/UyRLvdVWATy8=",0,62,"positive"
"ItftuFFavVwMqaRrUT9qislqbko=",0,37,""
"H+9nk0fOgnVFsWmag7w7VDVNwrs=",0,97,"negative"
"HDOuud1HVvWUPSTPjpD/aYY8Zpo=",0,49,"negative"
"O+RR7F/8r7D2IXPEr5WeuXOgKyM=",0,171,""
"GsI+rrZ6wzBlGDJnDWvBYQBIBhg=",0,73,"negative"
"2AIbcc0M8Ubaah+FTB14rcDdF8I=",0,32,"negative"
"jWZ/1+UyhWDnZ0DrznbM8PnYrOM=",0,113,"neutral"
"CpUUVBlgnyoncTG9fZFHxao/ZIc=",0,18,""
"6aUL+ariaBTHD44a1cEQz5RrCC8=",0,37,"positive"
"0CnTsyjpcU3ryUDLxscYHxOd/3s=",0,264,"neutral"
"Uv74edwVs/b6eN7M4AobckZ1THk=",0,190,"positive"
"wteRTz0hQQL8w/kVNHDaTZVW+Hw=",0,1,""
"IqvorcrlU7xzk5GwzaFQWdPvA+Q=",0,57,""
"bWD2CREHmg05wettCbQa9AOL0TI=",0,52,"negative"
"hvjY1fgD5+lm7dZYwZW4bPCnNhc=",0,122,"negative"
"O8vy/ZYQoArKIhZZaVAp//f+K6I=",0,90,"positive"
"prqd+9YwIwdFnWdn1egAiZ884HE=",0,125,""
"6Jheyw7JWRlc+26ryJgNdYOsqlU=",0,36,"negative"
"qBheg63RrT+xHYe2SuuGFWryizw=",0,84,"neutral"
"MWjeF+0BH1HBkRTd2cpdO3IlVA8=",0,55,""
"XVZQpt5VMDfY+YLQ+esFavp1oEQ=",0,56,""
"QXEmpttmcncfj8ecunsaV+m2Ris=",0,85,""
"vMaP4CZkdOgXjldOHMR51DDJEi0=",0,19,""
"34Ni1k24it7ACBn6zvcN375kPSs=",0,30,"negative"
"+LZLHSQU/p1Dr3cXF1dv8OJQOtk=",0,55,"negative"
"i76VlbgZt13EqMGtqhWCyXv6SHE=",0,67,"negative"
"QI2opKxoUi7gDLkRDPo0C8pl35s=",0,41,""
"ym44Qj2ZlJfsyEu+P3Nr335RWmo=",0,142,"neutral"
"kO5FM0FphbLW3pQ8A/5tadjRJ0k=",0,80,""
"yYGiRU7P7LPkT8K7ukB0QP0KuVo=",0,32,"positive"
"wADz9EkS81epQuIWCKIJPZIj4rc=",0,110,"negative"
"aV0dTsWhCk28G6gfJsAkuA0ByTo=",0,85,""
"XQmgaxPkiBdHcYVhNNOjQi/NNII=",0,57,""
"hMSmlh419Up6pwTMN6HESFU6NtY=",0,56,""
"jQiNV0t+ojKzAt2raHQqKKEx3ZM=",0,53,"negative"
"u6d5VtsUky3yFuphXNWy7WnEWAM=",0,56,""
"d+I/vjOCmNvxppbb1YU/A9g3W5E=",0,53,""
"j+dtlzHqs5aRk3W+e7jvAYjMqSs=",0,121,""
"AJje0wZvflVg87/f8PWrDcC8whk=",0,111,"neutral"
"yqVcMPWPhR8K8GIgnXYP33S8yJo=",0,59,""
"D0MuMGDnGMWiWXQaTXpcmWuiEDs=",0,81,""
"v1xCluiS+oSqh6yJWRPyeHxwpdM=",0,109,"positive"
"0FdeY4720BpbuOJt90OsDUURQjU=",0,84,""
"fegboPVIVJobkn/X7+BXJN9iRJg=",0,71,"negative"
"P6Q/jYAEOZWnCGPgkZ60NUFT1hY=",0,181,"neutral"
"QhP8zj37Pri/1mDZyFMdHp1wmts=",0,116,"negative"
"7tmrg9WrD6ukH0J4/94XlbdwzMQ=",0,81,""
"9Ycs6f9kd+Gr2w8BPw+7jnWBqiw=",0,82,"positive"
"mEwBKuwwmjcxWXLJWLWdF7oEzlo=",0,35,"positive"
"tpZKETvfka1ToQzlGtyUq847Tt4=",0,29,""
"WO92B642iK+vNnflkVXaVXRytmI=",0,35,""
"3we2NpgOCS8GB+mUPoGEhALmqXE=",0,48,"neutral"
"itd/qIjinka7HfvpxJLO4kDyHM8=",0,15,""
"5kEpsUqLLpaeHkvArAKYqUP+2Pk=",0,90,""
"EUYRU8kr1jt6xfBFkcBJzLyhGq0=",0,69,"negative"
"gNAe9+SgMS9ih9WI2zIHlDYyvnI=",0,92,""
"T6SLFvt10LGL6UbMbsxwFgdnw/Q=",0,56,""
"42tkDGyqwYsrNwQyPX0KYQ5VAws=",0,37,"negative"
"tHXHRU98G8ApNfxvdFajzScfiBE=",0,55,"negative"
"jzfF6f5It99oEsRPl6Vo4uy0FeU=",0,141,"negative"
"3QDPYhvh6mLUD9nFhTazML6Qnt0=",0,57,""
"xR31IKjGjewhwcvmpjw2O+tBgJM=",0,31,"negative"
"TH84E9MiEvU+nfUAFWSLUka1uog=",0,79,""
"Mohtl1gwLmQR8twfPqViW1ZfC70=",0,79,""
"7r+3/eSaKM7Pupe7rPDZdeAt2QQ=",0,57,""
"yWhXstHkuAfalT5KrFvmIsC59wE=",0,81,""
"jiEjIq+HRSpKxLL5jcCcefHQQes=",0,37,"negative"
"0fHMZcS1f5xmkL1dtOGIejsSxGg=",0,113,"negative"
"n50cXKVwleP2SI0/EuxbsuPfSPc=",0,58,""
"R2yLtcgigppk8Do1k9R6z7UG1jI=",0,2,""
"Sezxc8oyWG0b6foIKG9A7zrbTO0=",0,35,"negative"
"67kDR2V+hAH5Wc9Cu/RjwnNoCJ0=",0,34,"neutral"
"3eC6/Q2EpLc1YSKvpPK0iZ1BxJY=",0,83,""
"JbWvjQUZBWZWv7uDzJeAbkahZXU=",0,80,""
"aP06GKaTKJiyGPX30IV3wlNWC4I=",0,169,"neutral"
"jBeYoy7/W/eDoc/IW/j63SqnZK0=",0,289,"neutral"
"8PQVCW+wHq7gb1QRnUVMLjhGOqc=",0,130,"negative"
